,point.params.X_DUT_M1M2_W,point.params.X_DUT_M1M2_L,point.params.X_DUT_M1CM2C_W,point.params.X_DUT_M1CM2C_L,point.params.X_DUT_M3M4_W,point.params.X_DUT_M3M4_L,point.params.X_DUT_M3CM4C_W,point.params.X_DUT_M3CM4C_L,point.params.X_DUT_M5_W,point.params.X_DUT_M5_L,point.params.X_DUT_M5_NG,point.params.X_DUT_M6_W,point.params.X_DUT_M6_L,point.params.X_DUT_V_BIAS_1,point.params.X_DUT_V_BIAS_2,point.score,fit_summary.ugf.curr_val,fit_summary.ugf.score,fit_summary.dcgain.curr_val,fit_summary.dcgain.score,fit_summary.pm.curr_val,fit_summary.pm.score,fit_summary.v(inoise_total).curr_val,fit_summary.v(inoise_total).score,fit_summary.i(idd_total).curr_val,fit_summary.i(idd_total).score,fit_summary.tsettle.curr_val,fit_summary.tsettle.score
27,5.744853455492312e-05,2.0816475817110056e-06,6.589715669316654e-06,4.0462537461099276e-07,0.0001244190150016496,2.285631128516558e-07,0.00011111592141957764,2.225979601922415e-06,0.00013623626755467785,8.741308681496632e-06,1,2.846980071755199e-05,9.696006989019633e-06,0.6549459540912944,1.0537919676980676,-14.75468182901058,214418900.0,0.9043768954453438,38.01093,-2.989069999999998,74.0,-8.88888888888889,0.00041447823863871,46.131744938800004,4.976722940121694e-05,-2.876722940121694,2.9619300000000004e-07,0.0
28,0.00014131219417708543,5.734580914205088e-07,8.461322839562598e-06,3.0026305511134257e-07,2.500556704675635e-05,2.9822141710806387e-07,3.283941216189503e-05,2.6897500829311052e-06,0.0001319072520297534,4.8116844225174936e-06,4,5.8793113816320515e-05,8.827758359801724e-06,0.9389510182997709,1.1432516776208337,-14.83446,259265599.99999997,9.152560259365124,26.16554,-14.83446,59.0,0.0,0.0005795659653053684,31.57163092570421,2.014875142953352e-05,0.0,2.494110000000002e-07,0.0
29,0.00014131219417708543,5.73458091420508e-07,8.461322839562584e-06,3.0026305511134257e-07,1.713923209728814e-05,4.866778900660992e-07,7.231909864116885e-05,2.6897500829311052e-06,0.0001425506697393142,2.42766866043925e-06,5,0.00011671441409456354,8.827758359801724e-06,0.9389510182997709,0.9926879748263041,-14.979840000000003,197148500.0,0.0,26.020159999999997,-14.979840000000003,70.0,0.0,0.0007241564851217713,21.898675877815233,1.229955933910686e-05,18.88640488648539,3.46102e-07,0.0
30,3.1526006534234514e-05,7.979970764648774e-07,3.3374910829944734e-05,1.9082028157968084e-07,2.3470437705272235e-05,2.6819070874709497e-07,0.00019105357024748495,2.607677885509123e-06,0.00011498968377355903,5.293809799924773e-06,5,2.592363248382048e-05,6.320530990085489e-06,0.929578442595237,1.1781752331477655,-14.987835570120255,277315500.0,12.075484955127113,27.098390000000002,-13.901609999999998,68.0,0.0,0.0007951987921144376,17.834347139071966,3.186225570120258e-05,-1.0862255701202579,3.3429399999999996e-07,0.0
31,3.1526006534234514e-05,7.97997076464878e-07,3.3374910829944734e-05,1.9082028157968158e-07,2.347043770527225e-05,2.6819070874709497e-07,0.00019105357024748495,2.6076778855091233e-06,0.00011498968377355903,5.293809799924773e-06,5,2.592363248382048e-05,6.320530990085489e-06,0.9295784425952373,1.1781752331477657,-14.987835570205794,277315500.0,12.075484955127113,27.098390000000002,-13.901609999999998,68.0,0.0,0.0007951987920339871,17.83434714346574,3.186225570205796e-05,-1.0862255702057955,3.3429399999999996e-07,0.0
32,8.348035632394185e-05,7.327279560916369e-07,1.7702578573655485e-05,4.033836079428105e-07,2.3402788809296863e-05,4.2882535480061024e-07,0.00011071934438953221,2.002212053246364e-06,0.00013778141134686392,9.986179732787581e-06,2,3.792690451970548e-05,9.647775767357295e-06,0.901634286167364,1.0907368230819245,-15.130816808019713,269200000.0,10.785576081801997,26.734489999999997,-14.265510000000003,67.0,0.0,0.0005421750123458411,34.467968507088045,2.96530680801971e-05,-0.8653068080197099,3.432439999999999e-07,0.0
33,7.969751586070002e-05,8.773147339855877e-07,4.606319622876164e-05,5.848347047435208e-07,3.431636708511293e-05,3.8341781675135273e-07,0.00011562784328891688,2.3818913336331247e-06,0.0001685420361764146,4.593883159154426e-06,4,5.159267179164613e-05,9.3420359001683e-06,1.1333336629611819,1.011202076026788,-15.140470288603291,199675000.0,0.0,27.05928,-13.940719999999999,64.0,0.0,0.0004404170397136914,43.49550696418461,3.299750288603292e-05,-1.1997502886032918,2.632319999999999e-07,0.0
34,2.5290644648642427e-05,7.501320963040165e-07,2.2830323154414994e-05,5.7474603944213e-07,1.9120626818557667e-05,6.041006108553275e-07,0.00010924396145131378,1.6823969359334688e-06,0.0001946687540383404,9.325684407045778e-06,1,4.7889148989916055e-05,4.6109434773339345e-06,1.0683036136850697,1.1234117088250721,-15.152523825494466,195924500.0,0.0,26.66185,-14.338149999999999,57.0,0.0,0.0007482870286951056,20.475096615987734,2.914373825494467e-05,-0.8143738254944667,3.1812999999999995e-07,0.0
35,6.821610686550536e-05,1.205046567266466e-06,1.2154603557420057e-05,7.198635515755289e-07,5.548338954277009e-05,2.066689013450084e-07,0.00010410051380890553,2.095650863157639e-06,0.00017730396631824772,7.5661036996061514e-06,3,2.6846626459409812e-05,5.395035000100185e-06,1.0761922321735187,1.0825090374156765,-15.360144351748957,289459800.0,13.936896296532538,28.089949999999998,-12.91005,69.0,0.0,0.0003782306558421156,50.106245731136724,4.550094351748958e-05,-2.450094351748958,2.7067000000000003e-07,0.0
36,2.199504170065316e-05,1.2672092990338054e-06,9.936870364987877e-06,5.235416846795767e-07,1.2849262142896654e-05,6.994267380683703e-07,3.470046541503217e-05,2.464765476894394e-06,0.00019825482401317893,5.909707120812928e-06,3,7.083215431215259e-05,8.386060971439397e-06,1.1906781331591274,0.9668239736323831,-15.379340994720398,253030900.0,8.095426549349604,28.22531,-12.77469,71.0,-2.2222222222222223,0.000956552654146974,9.81103020171943,2.482428772498177e-05,-0.38242877249817686,2.40037e-07,0.0
